Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,18900000.0,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
4,21100000.0,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
3,12100000.0,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
4,21100000.0,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
3,4840000.0,guwahati,750,3,7,New Property,Unfurnished,East,Garden/Park,2,2,1,Covered
2,6900000.0,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
2,4980000.0,surat,660,4,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",2,1,1,Covered
3,3300000.0,bhiwadi,1600,1,10,Resale,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,3,1,Covered
4,39800000.0,hyderabad,3600,3,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
2,3000000.0,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,23500000.0,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,21500000.0,mumbai,915,6,25,New Property,Unfurnished,North - West,"Garden/Park, Main Road",3,0,1,Covered
2,5000000.0,ranchi,1000,2,4,Resale,Semi-Furnished,North - East,Main Road,2,2,1,Covered
3,15500000.0,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
3,20500000.0,gurgaon,1350,9,19,Resale,Semi-Furnished,South,Main Road,2,4,1,Covered
2,6400000.0,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
